,16242ba1-42fd-4fae-bd2e-433b97fc95c6_11,1d26c6ae-f2fc-49e4-83a4-b79398c3d8f8_11,25fb2523-3f46-45c4-b54d-16aafdeb4904_11,680b2e96-f00b-4012-8728-b0ec20c50ce0_11,a2b0094b-8a0c-4505-a1fa-7e1e47d0374d_11
MIMAT0003260,252.0,67.0,305.0,169.0,248.0
MIMAT0003265,1.0,5.0,1.0,0.0,2.0
MIMAT0003266,2756.0,1054.0,4529.0,1821.0,3563.0
MIMAT0003270,0.0,2.0,0.0,0.0,0.0
MIMAT0003273,0.0,0.0,2.0,0.0,2.0
MIMAT0003275,4.0,3.0,3.0,4.0,2.0
MIMAT0003280,0.0,1.0,0.0,0.0,0.0
MIMAT0003284,3.0,19.0,4.0,9.0,9.0
MIMAT0003287,2.0,1.0,7.0,4.0,3.0
MIMAT0003293,0.0,2.0,7.0,8.0,2.0
MIMAT0003294,13.0,72.0,31.0,14.0,20.0
MIMAT0003296,2.0,19.0,3.0,7.0,4.0
MIMAT0003297,69.0,87.0,103.0,134.0,103.0
MIMAT0003298,1.0,1.0,2.0,3.0,0.0
MIMAT0003301,3.0,97.0,10.0,5.0,30.0
MIMAT0003302,1.0,0.0,0.0,1.0,1.0
MIMAT0003306,2.0,1.0,1.0,0.0,0.0
MIMAT0003309,1.0,0.0,0.0,0.0,1.0
MIMAT0003311,1.0,3.0,1.0,1.0,4.0
MIMAT0003312,7.0,124.0,7.0,4.0,7.0
MIMAT0003313,0.0,1.0,1.0,2.0,3.0
MIMAT0003321,12.0,7.0,11.0,8.0,26.0
MIMAT0003322,188.0,131.0,269.0,194.0,232.0
MIMAT0003323,1.0,1.0,0.0,2.0,0.0
MIMAT0003328,36.0,5.0,36.0,26.0,66.0
MIMAT0003329,392.0,77.0,619.0,164.0,537.0
MIMAT0003330,33.0,15.0,59.0,22.0,42.0
MIMAT0003331,116.0,42.0,149.0,116.0,208.0
MIMAT0003332,67.0,23.0,139.0,50.0,116.0
MIMAT0003335,0.0,2.0,0.0,0.0,0.0
MIMAT0003336,0.0,0.0,1.0,1.0,1.0
MIMAT0003337,0.0,1.0,1.0,0.0,0.0
MIMAT0003338,85.0,86.0,193.0,111.0,224.0
MIMAT0003339,24.0,53.0,75.0,55.0,82.0
MIMAT0003340,13.0,4.0,17.0,8.0,12.0
MIMAT0003385,0.0,0.0,1.0,0.0,1.0
MIMAT0003386,86.0,44.0,70.0,60.0,65.0
MIMAT0003389,802.0,346.0,1066.0,547.0,744.0
MIMAT0003393,1706.0,897.0,1431.0,2208.0,2269.0
MIMAT0003879,765.0,269.0,1086.0,585.0,1085.0
MIMAT0003880,23.0,10.0,40.0,22.0,42.0
MIMAT0003881,53.0,22.0,64.0,13.0,59.0
MIMAT0003882,375.0,171.0,553.0,241.0,458.0
MIMAT0003883,10.0,4.0,16.0,11.0,10.0
MIMAT0003884,3.0,1.0,3.0,2.0,2.0
MIMAT0003885,22.0,65.0,39.0,40.0,44.0
MIMAT0003886,985.0,690.0,1566.0,824.0,1597.0
MIMAT0003887,129.0,58.0,123.0,109.0,148.0
MIMAT0003888,174.0,86.0,220.0,133.0,203.0
MIMAT0003945,7.0,3.0,9.0,4.0,10.0
MIMAT0003948,39.0,35.0,78.0,110.0,57.0
MIMAT0004185,0.0,1.0,0.0,0.0,0.0
MIMAT0004284,0.0,1.0,0.0,0.0,0.0
MIMAT0004481,77.0,180.0,110.0,96.0,132.0
MIMAT0004482,81.0,387.0,114.0,99.0,277.0
MIMAT0004484,1259.0,2651.0,1886.0,1300.0,1889.0
MIMAT0004485,177.0,136.0,189.0,108.0,182.0
MIMAT0004486,4.0,16.0,8.0,5.0,13.0
MIMAT0004487,1.0,3.0,1.0,1.0,1.0
MIMAT0004488,0.0,1.0,1.0,0.0,0.0
MIMAT0004489,8.0,16.0,11.0,12.0,15.0
MIMAT0004491,3.0,21.0,6.0,13.0,12.0
MIMAT0004493,6.0,21.0,7.0,12.0,9.0
MIMAT0004494,162.0,219.0,79.0,290.0,367.0
MIMAT0004495,118.0,102.0,206.0,123.0,175.0
MIMAT0004496,3.0,0.0,2.0,5.0,2.0
MIMAT0004497,16.0,18.0,19.0,18.0,20.0
MIMAT0004498,0.0,0.0,2.0,1.0,0.0
MIMAT0004499,3.0,3.0,2.0,0.0,2.0
MIMAT0004500,42.0,106.0,49.0,43.0,49.0
MIMAT0004501,13.0,6.0,5.0,10.0,23.0
MIMAT0004502,3358.0,7422.0,4364.0,3526.0,3531.0
MIMAT0004503,46.0,38.0,54.0,40.0,63.0
MIMAT0004504,11.0,4.0,15.0,10.0,21.0
MIMAT0004505,1.0,3.0,2.0,3.0,0.0
MIMAT0004506,13.0,15.0,17.0,10.0,19.0
MIMAT0004507,2.0,4.0,2.0,1.0,6.0
MIMAT0004509,34.0,62.0,40.0,37.0,41.0
MIMAT0004511,61.0,33.0,58.0,34.0,74.0
MIMAT0004512,2.0,5.0,4.0,0.0,0.0
MIMAT0004513,66.0,104.0,131.0,83.0,112.0
MIMAT0004514,15.0,24.0,25.0,11.0,21.0
MIMAT0004515,429.0,295.0,506.0,342.0,500.0
MIMAT0004516,2.0,1.0,6.0,4.0,5.0
MIMAT0004517,0.0,2.0,3.0,1.0,0.0
MIMAT0004518,10.0,15.0,14.0,46.0,26.0
MIMAT0004543,7.0,4.0,6.0,6.0,2.0
MIMAT0004548,110.0,44.0,132.0,87.0,128.0
MIMAT0004549,4.0,1.0,11.0,2.0,11.0
MIMAT0004550,399.0,442.0,567.0,338.0,485.0
MIMAT0004551,15.0,7.0,20.0,8.0,22.0
MIMAT0004552,4129.0,1257.0,6286.0,3276.0,5470.0
MIMAT0004553,296.0,91.0,251.0,189.0,203.0
MIMAT0004554,11.0,5.0,17.0,11.0,23.0
MIMAT0004556,0.0,1.0,1.0,0.0,0.0
MIMAT0004557,0.0,2.0,2.0,2.0,0.0
MIMAT0004558,2254.0,12635.0,3833.0,3412.0,4348.0
MIMAT0004559,1730.0,704.0,3150.0,1274.0,2570.0
MIMAT0004561,0.0,0.0,0.0,0.0,1.0
MIMAT0004563,302.0,131.0,466.0,221.0,294.0
MIMAT0004564,0.0,1.0,7.0,3.0,0.0
MIMAT0004565,1.0,1.0,5.0,0.0,6.0
MIMAT0004566,7.0,2.0,8.0,2.0,2.0
MIMAT0004567,7.0,13.0,14.0,5.0,14.0
MIMAT0004568,12.0,5.0,14.0,14.0,15.0
MIMAT0004569,18.0,4.0,18.0,8.0,14.0
MIMAT0004570,6.0,5.0,3.0,12.0,11.0
MIMAT0004571,0.0,2.0,0.0,0.0,2.0
MIMAT0004584,274.0,321.0,279.0,244.0,266.0
MIMAT0004585,158.0,251.0,135.0,219.0,222.0
MIMAT0004586,14.0,35.0,53.0,95.0,54.0
MIMAT0004587,2.0,16.0,3.0,2.0,4.0
MIMAT0004588,53.0,129.0,95.0,48.0,84.0
MIMAT0004589,11.0,12.0,19.0,12.0,27.0
MIMAT0004591,491.0,100.0,594.0,318.0,557.0
